item_id,item_description,item_type,base_price,image_key
wireless-earbuds,Wireless Earbuds Pro,Audio,79.99,products/wireless-earbuds.png
smart-watch,Smart Watch Ultra,Wearables,249.99,products/smart-watch.png
bluetooth-speaker,Portable Bluetooth Speaker,Audio,49.99,products/bluetooth-speaker.png
noise-cancelling-headphones,Noise Cancelling Headphones,Audio,199.99,products/noise-cancelling-headphones.png
4k-webcam,4K Webcam,Accessories,89.99,products/4k-webcam.png
mechanical-keyboard,Mechanical Keyboard RGB,Peripherals,129.99,products/mechanical-keyboard.png
gaming-mouse,Wireless Gaming Mouse,Peripherals,69.99,products/gaming-mouse.png
usb-c-hub,USB-C Hub 7-in-1,Accessories,39.99,products/usb-c-hub.png
portable-ssd,Portable SSD 1TB,Storage,89.99,products/portable-ssd.png
smart-display,Smart Home Display,Smart Home,149.99,products/smart-display.png
robot-vacuum,Robot Vacuum,Smart Home,299.99,products/robot-vacuum.png
action-camera,Action Camera 4K,Camera,179.99,products/action-camera.png
